MC5;
time/s;Fluo/V;P700 deltaI/I x10³;
6.080;-0.0034;0.8407;
6.100;-0.0034;0.8817;
6.120;-0.0034;0.7751;
6.140;-0.0012;0.7300;
6.160;-0.0012;0.8489;
6.180;-0.0006;0.8120;
6.200;-0.0006;0.8284;
6.220;-0.0006;0.7710;
6.240;-0.0017;0.8120;
6.260;-0.0017;0.8612;
6.280;0.0020;0.8325;
6.300;0.0020;0.8489;
6.320;0.0020;0.8038;
6.340;-0.0063;0.7874;
6.360;-0.0063;0.7259;
6.380;0.0027;0.7833;
6.400;0.0027;0.8489;
6.420;0.0027;0.7423;
6.440;-0.0006;0.8325;
6.460;-0.0006;0.7710;
6.480;-0.0072;0.7464;
6.500;-0.0072;0.7710;
6.520;-0.0072;0.7792;
6.540;-0.0034;0.7628;
6.560;-0.0034;0.8407;
6.580;0.0046;0.8120;
6.600;0.0046;0.7546;
6.620;0.0046;0.7218;
6.640;0.0005;0.7792;
6.660;0.0005;0.8202;
6.680;0.0056;0.7874;
6.700;0.0056;0.7628;
6.720;0.0056;0.7177;
6.740;0.0060;0.7710;
6.760;0.0060;0.7956;
6.780;-0.0037;0.7997;
6.800;-0.0037;0.7464;
6.820;-0.0037;0.7259;
6.840;-0.0061;0.7382;
6.860;-0.0061;0.7669;
6.880;0.0020;0.7095;
6.900;0.0020;0.8243;
6.920;0.0020;0.7833;
6.940;-0.0034;0.8038;
6.960;-0.0034;0.8530;
6.980;-0.0043;0.7341;
7.000;-0.0043;0.7382;
7.020;-0.0043;0.7710;
7.040;-0.0055;0.7136;
7.060;-0.0055;0.8079;
7.080;0.0008;0.7259;
7.100;0.0008;0.7915;
7.120;0.0008;0.7915;
7.140;0.0084;0.8366;
7.160;0.0084;0.7341;
7.180;0.0078;0.7218;
7.200;0.0078;0.7587;
7.220;0.0078;0.7218;
7.240;0.0037;0.7423;
7.260;0.0037;0.7423;
7.280;0.0041;0.7136;
7.300;0.0041;0.7259;
7.320;0.0041;0.7013;
7.340;-0.0006;0.7177;
7.360;-0.0006;0.7423;
7.380;0.0031;0.7464;
7.400;0.0031;0.7956;
7.420;0.0031;0.7218;
7.440;0.0034;0.7300;
7.460;0.0034;0.7628;
7.480;-0.0041;0.7259;
7.500;-0.0041;0.6849;
7.520;-0.0041;0.7341;
7.540;-0.0023;0.7751;
7.560;-0.0023;0.7546;
7.580;-0.0038;0.7300;
7.600;-0.0038;0.7874;
7.620;-0.0038;0.7054;
7.640;-0.0002;0.7382;
7.660;-0.0002;0.7956;
7.680;-0.0072;0.6808;
7.700;-0.0072;0.7259;
7.720;-0.0072;0.7874;
7.740;-0.0020;0.6890;
7.760;-0.0020;0.7423;
7.780;-0.0015;0.7054;
7.800;-0.0015;0.7710;
7.820;-0.0015;0.7792;
7.840;0.0052;0.7546;
7.860;0.0052;0.7013;
7.880;0.0017;0.6931;
7.900;0.0017;0.7423;
7.920;0.0017;0.7259;
7.940;-0.0044;0.6808;
7.960;-0.0044;0.6808;
7.980;-0.0079;0.7095;
8.000;-0.0079;0.7013;
8.020;-0.0079;0.6685;
8.040;-0.0011;0.6808;
8.060;-0.0011;0.6972;
8.080;0.0008;0.6562;
8.100;0.0008;0.6808;
8.120;0.0008;0.6479;
8.140;0.0099;0.7013;
8.160;0.0099;0.7505;
8.180;-0.0026;0.7095;
8.200;-0.0026;0.7792;
8.220;-0.0026;0.6972;
8.240;-0.0023;0.7054;
8.260;-0.0023;0.7218;
8.280;0.0015;0.7300;
8.300;0.0015;0.6972;
8.320;0.0015;0.6028;
8.340;-0.0009;0.6151;
8.360;-0.0009;0.7423;
8.380;0.0050;0.6931;
8.400;0.0050;0.7300;
8.420;0.0050;0.6315;
8.440;-0.0040;0.6726;
8.460;-0.0040;0.6931;
8.480;0.0034;0.6685;
8.500;0.0034;0.6685;
8.520;0.0034;0.6397;
8.540;-0.0099;0.6644;
8.560;-0.0099;0.6562;
8.580;0.0066;0.6972;
8.600;0.0066;0.6603;
8.620;0.0066;0.6069;
8.640;0.0000;0.6479;
8.660;0.0000;0.6972;
8.680;0.0005;0.6726;
8.700;0.0005;0.6767;
8.720;0.0005;0.6644;
8.740;-0.0052;0.6356;
8.760;-0.0052;0.6726;
8.780;0.0111;0.6438;
8.800;0.0111;0.6726;
8.820;0.0111;0.6315;
8.840;-0.0018;0.6110;
8.860;-0.0018;0.6356;
8.880;0.0006;0.6644;
8.900;0.0006;0.6603;
8.920;0.0006;0.6603;
8.940;-0.0006;0.6520;
8.960;-0.0006;0.6274;
8.980;-0.0055;0.6603;
9.000;-0.0055;0.6767;
9.020;-0.0055;0.7300;
9.040;-0.0067;0.6726;
9.060;-0.0067;0.6726;
9.080;-0.0085;0.6849;
9.100;-0.0085;0.7505;
9.120;-0.0085;0.6972;
9.140;0.0043;0.7464;
9.160;0.0043;0.7013;
9.180;-0.0046;0.6356;
9.200;-0.0046;0.6274;
9.220;-0.0046;0.6767;
9.240;-0.0043;0.6685;
9.260;-0.0043;0.7218;
9.280;-0.0082;0.6192;
9.300;-0.0082;0.6972;
9.320;-0.0082;0.6767;
9.340;0.0031;0.7464;
9.360;0.0031;0.6890;
9.380;0.0038;0.6315;
9.400;0.0038;0.7054;
9.420;0.0038;0.6972;
9.440;-0.0002;0.6685;
9.460;-0.0002;0.6438;
9.480;-0.0003;0.6562;
9.500;-0.0003;0.6685;
9.520;-0.0003;0.6479;
9.540;0.0035;0.6274;
9.560;0.0035;0.6726;
9.580;-0.0006;0.6767;
9.600;-0.0006;0.6644;
9.620;-0.0006;0.6726;
9.640;0.0006;0.5946;
9.660;0.2381;0.6028;
9.680;0.2381;0.6849;
9.700;0.2555;0.5659;
9.720;0.2555;0.6849;
9.740;0.2555;0.6685;
9.760;0.2463;0.6931;
9.780;0.2463;0.7013;
9.800;0.2659;0.6028;
9.820;0.2659;0.5987;
9.840;0.2659;0.6931;
9.860;0.2578;0.6931;
9.880;0.2578;0.6397;
9.900;0.2485;0.6520;
9.920;0.2485;0.5495;
9.940;0.2485;0.6110;
9.960;0.2648;0.7054;
9.980;0.2648;0.6685;
10.000;0.2509;0.6767;
10.020;0.2509;0.6726;
10.040;0.2509;0.7259;
10.060;0.2527;0.6520;
10.080;0.2527;0.6767;
10.100;0.2608;0.6972;
10.120;0.2608;0.6726;
10.140;0.2608;0.6274;
10.160;0.2630;0.7464;
10.180;0.2630;0.6356;
10.200;0.2579;0.6644;
10.220;0.2579;0.6356;
10.240;0.2579;0.6644;
10.260;0.2550;0.6397;
10.280;0.2550;0.6644;
10.300;0.2604;0.6110;
10.320;0.2604;0.6685;
10.340;0.2604;0.6849;
10.360;0.2503;0.6315;
10.380;0.2503;0.6562;
10.400;0.2526;0.5946;
10.420;0.2526;0.6931;
10.440;0.2526;0.6603;
10.460;0.2451;0.5741;
10.480;0.2451;0.6603;
10.500;0.2561;0.5946;
10.520;0.2561;0.6028;
10.540;0.2561;0.6603;
10.560;0.2618;0.5536;
10.580;0.2618;0.6767;
10.600;0.2552;0.6520;
10.620;0.2552;0.7300;
10.640;0.2552;0.6356;
10.660;0.2547;0.6438;
10.680;0.2547;0.5946;
10.700;0.2482;0.6767;
10.720;0.2482;0.7177;
10.740;0.2482;0.6685;
10.760;0.2556;0.6685;
10.780;0.2556;0.6520;
10.800;0.2527;0.6685;
10.820;0.2527;0.6562;
10.840;0.2527;0.6767;
10.860;0.2537;0.6069;
10.880;0.2537;0.5946;
10.900;0.2589;0.6069;
10.920;0.2589;0.6767;
10.940;0.2589;0.6438;
10.960;0.2544;0.6562;
10.980;0.2544;0.6028;
11.000;0.2564;0.6520;
11.020;0.2564;0.6274;
11.040;0.2564;0.6972;
11.060;0.2489;0.6315;
11.080;0.2489;0.6479;
11.100;0.2503;0.6397;
11.120;0.2503;0.6356;
11.140;0.2503;0.6110;
11.160;0.2563;0.6110;
11.180;0.2563;0.6274;
11.200;0.2590;0.6520;
11.220;0.2590;0.6767;
11.240;0.2590;0.5536;
11.260;0.2515;0.6438;
11.280;0.2515;0.6562;
11.300;0.2624;0.6603;
11.320;0.2624;0.6562;
11.340;0.2624;0.5741;
11.360;0.2529;0.6397;
11.380;0.2529;0.6603;
11.400;0.2524;0.6356;
11.420;0.2524;0.6356;
11.440;0.2524;0.5741;
11.460;0.2523;0.6438;
11.480;0.2523;0.6479;
11.500;0.2653;0.7177;
11.520;0.2653;0.6356;
11.540;0.2653;0.6151;
11.560;0.2579;0.5987;
11.580;0.2579;0.6808;
11.600;0.2537;0.6685;
11.620;0.2537;0.6890;
11.640;0.2537;0.5905;
11.660;0.2534;0.5946;
11.680;0.2534;0.6233;
11.700;0.2502;0.6644;
11.720;0.2502;0.6808;
11.740;0.2502;0.7095;
11.760;0.2648;0.5536;
11.780;0.2648;0.6192;
11.800;0.2608;0.5987;
11.820;0.2608;0.6644;
11.840;0.2608;0.6438;
11.860;0.2614;0.6151;
11.880;0.2614;0.6479;
11.900;0.2592;0.6110;
11.920;0.2592;0.6151;
11.940;0.2592;0.6274;
11.960;0.2647;0.6603;
11.980;0.2647;0.6028;
12.000;0.2589;0.5987;
12.020;0.2589;0.5741;
12.040;0.2589;0.7054;
12.060;0.2582;0.6315;
12.080;0.2582;0.6192;
12.100;0.2534;0.6028;
12.120;0.2534;0.6274;
12.140;0.2534;0.5864;
12.160;0.2558;0.6603;
12.180;0.2558;0.6315;
12.200;0.2518;0.5290;
12.220;0.2518;0.6890;
12.240;0.2518;0.6315;
12.260;0.2680;0.6603;
12.280;0.2680;0.6110;
12.300;0.2532;0.5946;
12.320;0.2532;0.5618;
12.340;0.2532;0.5577;
12.360;0.2613;0.6151;
12.380;0.2613;0.6931;
12.400;0.2558;0.5372;
12.420;0.2558;0.6233;
12.440;0.2558;0.6110;
12.460;0.2645;0.6233;
12.480;0.2645;0.5413;
12.500;0.2503;0.5536;
12.520;0.2503;0.5618;
12.540;0.2503;0.6151;
12.560;0.2665;0.6028;
12.580;0.2665;0.6356;
12.600;0.2643;0.6644;
12.620;0.2643;0.6110;
12.640;0.2643;0.5741;
12.660;0.2622;0.6315;
12.680;0.2622;0.6069;
12.700;0.2599;0.6192;
12.720;0.2599;0.6274;
12.740;0.2599;0.5823;
12.760;0.2506;0.5741;
12.780;0.2506;0.6644;
12.800;0.2561;0.6644;
12.820;0.2561;0.7013;
12.840;0.2561;0.6233;
12.860;0.2517;0.5905;
12.880;0.2517;0.6069;
12.900;0.2666;0.6233;
12.920;0.2666;0.6356;
12.940;0.2666;0.6356;
12.960;0.2538;0.5659;
12.980;0.2538;0.6233;
13.000;0.2584;0.5741;
13.020;0.2584;0.7382;
13.040;0.2584;0.6110;
13.060;0.2553;0.5126;
13.080;0.2553;0.6356;
13.100;0.2669;0.6315;
13.120;0.2669;0.6562;
13.140;0.2669;0.6479;
13.160;0.2621;0.5741;
13.180;0.2621;0.5905;
13.200;0.2619;0.6849;
13.220;0.2619;0.5987;
