MC4;
time/s;Fluo/V;P700 deltaI/I x10³;
2.920;0.0052;0.0082;
2.940;0.0052;0.0287;
2.960;0.0024;0.0328;
2.980;0.0024;0.0205;
3.000;0.0024;0.0287;
3.020;0.0067;0.0451;
3.040;0.0067;-0.0041;
3.060;-0.0017;0.0164;
3.080;-0.0017;0.0205;
3.100;-0.0017;0.0041;
3.120;0.0038;0.0861;
3.140;0.0038;-0.0205;
3.160;0.0017;-0.0205;
3.180;0.0017;-0.0205;
3.200;0.0017;-0.0123;
3.220;0.0124;-0.0041;
3.240;0.0124;0.0369;
3.260;-0.0043;0.0164;
3.280;-0.0043;0.0000;
3.300;-0.0043;-0.0041;
3.320;-0.0069;0.0902;
3.340;-0.0069;-0.0041;
3.360;-0.0044;-0.0123;
3.380;-0.0044;0.0820;
3.400;-0.0044;0.0656;
3.420;-0.0002;-0.0164;
3.440;-0.0002;0.0328;
3.460;0.0000;-0.0041;
3.480;0.0000;0.0082;
3.500;0.0000;0.0123;
3.520;-0.0027;0.0123;
3.540;-0.0027;-0.0041;
3.560;-0.0017;0.0041;
3.580;-0.0017;0.0533;
3.600;-0.0017;0.0369;
3.620;-0.0023;-0.0123;
3.640;-0.0023;-0.0574;
3.660;0.0023;0.0656;
3.680;0.0023;0.0697;
3.700;0.0023;-0.0123;
3.720;0.0026;0.0123;
3.740;0.0026;-0.0287;
3.760;0.0075;0.0451;
3.780;0.0075;0.0943;
3.800;0.0075;0.0410;
3.820;0.0047;0.0205;
3.840;0.0047;-0.0574;
3.860;0.0029;0.0164;
3.880;0.0029;0.0697;
3.900;0.0029;0.0205;
3.920;0.0026;0.0369;
3.940;0.0026;0.0533;
3.960;0.0015;-0.0082;
3.980;0.0015;0.0328;
4.000;0.0015;0.0287;
4.020;0.0038;-0.0123;
4.040;0.0038;-0.0123;
4.060;-0.0008;-0.0041;
4.080;-0.0008;0.0656;
4.100;-0.0008;0.0164;
4.120;-0.0024;0.0041;
