MC6;
time/s;Fluo/V;P700 deltaI/I x10³;
3.400;0.2680;0.5716;
3.420;0.2680;0.5364;
3.440;0.2680;0.5672;
3.460;0.2753;0.6200;
3.480;0.2753;0.6331;
3.500;0.2701;0.5716;
3.520;0.2701;0.5276;
3.540;0.2701;0.5232;
3.560;0.2671;0.5496;
3.580;0.2671;0.5716;
3.600;0.2683;0.5232;
3.620;0.2683;0.5320;
3.640;0.2683;0.5584;
3.660;0.2715;0.5628;
3.680;0.2715;0.6156;
3.700;0.2679;0.6243;
3.720;0.2679;0.5320;
3.740;0.2679;0.6068;
3.760;0.2685;0.5936;
3.780;0.2685;0.6156;
3.800;0.2692;0.6200;
3.820;0.2692;0.6243;
3.840;0.2692;0.5672;
3.860;0.2691;0.6903;
3.880;0.2691;0.5716;
3.900;0.2685;0.5540;
3.920;0.2685;0.5980;
3.940;0.2685;0.6156;
3.960;0.2743;0.5628;
3.980;0.2743;0.5100;
4.000;0.2671;0.5760;
4.020;0.2671;0.5628;
4.040;0.2671;0.5364;
4.060;0.2775;0.5672;
4.080;0.2775;0.6024;
4.100;0.2749;0.5892;
4.120;0.2749;0.5804;
4.140;0.2749;0.5716;
4.160;0.2698;0.4968;
4.180;0.2698;0.4793;
4.200;0.2773;0.6463;
4.220;0.2773;0.5892;
4.240;0.2773;0.6156;
4.260;0.2784;0.5496;
4.280;0.2784;0.5276;
4.300;0.2701;0.6200;
4.320;0.2701;0.6727;
4.340;0.2701;0.5540;
4.360;0.2729;0.5540;
4.380;0.2729;0.5408;
4.400;0.2697;0.6156;
4.420;0.2697;0.5804;
4.440;0.2697;0.5936;
4.460;0.2729;0.5980;
4.480;0.2729;0.5144;
4.500;0.2804;0.6639;
4.520;0.2804;0.6112;
4.540;0.2804;0.6112;
4.560;0.2709;0.5892;
4.580;0.2709;0.5584;
4.600;0.2776;0.6243;
4.620;0.2776;0.6024;
4.640;0.2776;0.5672;
4.660;0.2737;0.5452;
4.680;0.2737;0.5760;
4.700;0.2691;0.5452;
4.720;0.2691;0.5892;
4.740;0.2691;0.5936;
4.760;0.2672;0.5848;
4.780;0.2672;0.5364;
4.800;0.2703;0.5540;
4.820;0.2703;0.5496;
4.840;0.2703;0.5672;
4.860;0.2734;0.5496;
4.880;0.2734;0.5936;
4.900;0.2740;0.5760;
4.920;0.2740;0.5760;
4.940;0.2740;0.5804;
4.960;0.2665;0.5892;
4.980;0.2665;0.4968;
5.000;0.2688;0.5804;
5.020;0.2688;0.5672;
5.040;0.2688;0.5716;
5.060;0.2708;0.5364;
5.080;0.2708;0.6068;
5.100;0.2656;0.6551;
5.120;0.2656;0.5760;
5.140;0.2656;0.5628;
5.160;0.2759;0.6068;
5.180;0.2759;0.5936;
5.200;0.2672;0.5848;
5.220;0.2672;0.6068;
5.240;0.2672;0.5408;
5.260;0.2715;0.5980;
5.280;0.2715;0.5672;
5.300;0.2747;0.5540;
5.320;0.2747;0.5672;
5.340;0.2747;0.6156;
5.360;0.2766;0.6287;
5.380;0.2766;0.6287;
5.400;0.2662;0.5540;
5.420;0.2662;0.5320;
5.440;0.2662;0.5936;
5.460;0.2640;0.6156;
5.480;0.2640;0.6287;
5.500;0.2770;0.5364;
5.520;0.2770;0.5452;
5.540;0.2770;0.5452;
5.560;0.2795;0.6595;
5.580;0.2795;0.5364;
5.600;0.2698;0.5408;
5.620;0.2698;0.5540;
5.640;0.2698;0.5540;
5.660;0.2631;0.5452;
5.680;0.2631;0.5276;
5.700;0.2734;0.4749;
5.720;0.2734;0.5364;
5.740;0.2734;0.6024;
5.760;0.2709;0.6287;
5.780;0.2709;0.5364;
5.800;0.2686;0.5760;
5.820;0.2686;0.5540;
5.840;0.2686;0.5672;
5.860;0.2674;0.6024;
5.880;0.2674;0.5408;
5.900;0.2819;0.5012;
5.920;0.2819;0.5848;
5.940;0.2819;0.5584;
5.960;0.2648;0.5848;
5.980;0.2648;0.5892;
6.000;0.2729;0.5276;
6.020;0.2729;0.5628;
6.040;0.2729;0.5804;
6.060;0.2799;0.6024;
6.080;0.2799;0.5100;
6.100;0.2749;0.6068;
6.120;0.2749;0.5276;
6.140;0.2749;0.5144;
6.160;0.2721;0.5672;
6.180;0.2721;0.5672;
6.200;0.2822;0.6112;
6.220;0.2822;0.5540;
6.240;0.2822;0.5100;
6.260;0.2679;0.6243;
6.280;0.2679;0.5716;
6.300;0.2723;0.6112;
6.320;0.2723;0.5848;
6.340;0.2723;0.5716;
6.360;0.2724;0.5848;
6.380;0.2724;0.5936;
6.400;0.2773;0.5848;
6.420;0.2773;0.5716;
6.440;0.2773;0.5188;
6.460;0.2715;0.5100;
6.480;0.2715;0.6463;
6.500;0.2714;0.6156;
6.520;0.2714;0.6771;
6.540;0.2714;0.5144;
6.560;0.2718;0.5584;
6.580;0.2718;0.5980;
6.600;0.2698;0.5232;
6.620;0.2698;0.5408;
6.640;0.2698;0.5628;
6.660;0.2656;0.4793;
6.680;0.2656;0.6200;
6.700;0.2721;0.6200;
6.720;0.2721;0.4749;
6.740;0.2721;0.5584;
6.760;0.2720;0.5100;
6.780;0.2720;0.6112;
6.800;0.2717;0.5892;
6.820;0.2717;0.5144;
6.840;0.2717;0.5760;
6.860;0.2680;0.5100;
6.880;0.2680;0.5672;
6.900;0.2663;0.5760;
6.920;0.2663;0.5936;
6.940;0.2663;0.5936;
6.960;0.2727;0.5364;
6.980;0.2727;0.5848;
7.000;0.2712;0.6287;
7.020;0.2712;0.5188;
7.040;0.2712;0.5672;
7.060;0.2732;0.5012;
7.080;0.2732;0.5936;
7.100;0.2705;0.6112;
7.120;0.2705;0.5716;
7.140;0.2705;0.5936;
7.160;0.2621;0.6112;
7.180;0.2621;0.6156;
7.200;0.2688;0.6024;
7.220;0.2688;0.6024;
7.240;0.2688;0.6287;
7.260;0.2645;0.5364;
7.280;0.2645;0.6551;
7.300;0.2779;0.6200;
7.320;0.2779;0.5760;
7.340;0.2779;0.5276;
7.360;0.2645;0.5540;
7.380;0.2645;0.6112;
7.400;0.2830;0.6595;
7.420;0.2830;0.5848;
7.440;0.2830;0.5804;
7.460;0.2682;0.6287;
7.480;0.2682;0.5496;
7.500;0.2720;0.5232;
7.520;0.2720;0.5232;
7.540;0.2720;0.5848;
7.560;0.2648;0.5672;
7.580;0.2648;0.5980;
7.600;0.2683;0.5804;
7.620;0.2683;0.5804;
7.640;0.2683;0.5496;
7.660;0.2692;0.5804;
7.680;0.2692;0.5012;
7.700;0.2715;0.4968;
7.720;0.2715;0.6331;
7.740;0.2715;0.6156;
7.760;0.2785;0.5628;
7.780;0.2785;0.5408;
7.800;0.2705;0.5496;
7.820;0.2705;0.5892;
7.840;0.2705;0.6112;
7.860;0.2724;0.5672;
7.880;0.2724;0.5408;
7.900;0.2607;0.5144;
7.920;0.2607;0.5892;
7.940;0.2607;0.5540;
7.960;0.2798;0.6112;
7.980;0.2798;0.5408;
8.000;0.2701;0.5628;
8.020;0.2701;0.6024;
8.040;0.2701;0.6156;
8.060;0.2769;0.5848;
8.080;0.2769;0.5408;
8.100;0.2654;0.5716;
8.120;0.2654;0.5628;
8.140;0.2654;0.6683;
8.160;0.2712;0.5672;
8.180;0.2712;0.5540;
8.200;0.2665;0.5232;
8.220;0.2665;0.6595;
8.240;0.2665;0.6200;
8.260;0.2706;0.5980;
8.280;0.2706;0.5672;
8.300;0.2679;0.5540;
8.320;0.2679;0.6375;
8.340;0.2679;0.6200;
8.360;0.2691;0.6419;
8.380;0.2691;0.4880;
8.400;0.2741;0.5980;
8.420;0.2741;0.6375;
8.440;0.2741;0.5980;
8.460;0.2730;0.5408;
8.480;0.2730;0.5892;
8.500;0.2634;0.6068;
8.520;0.2634;0.6200;
8.540;0.2634;0.6112;
8.560;0.2628;0.6551;
8.580;0.2628;0.5584;
8.600;0.2698;0.5672;
8.620;0.2698;0.5892;
8.640;0.2698;0.5892;
8.660;0.2676;0.5936;
8.680;0.2676;0.5936;
8.700;0.2730;0.5980;
8.720;0.2730;0.6156;
8.740;0.2730;0.6200;
8.760;0.2697;0.6243;
8.780;0.2697;0.5408;
8.800;0.2752;0.5452;
8.820;0.2752;0.6068;
8.840;0.2752;0.5980;
8.860;0.2753;0.5716;
8.880;0.2753;0.5892;
8.900;0.2677;0.6243;
8.920;0.2677;0.5892;
8.940;0.2677;0.6507;
8.960;0.2717;0.6068;
8.980;0.2717;0.6683;
9.000;0.2737;0.6331;
9.020;0.2737;0.5672;
9.040;0.2737;0.5496;
9.060;0.2718;0.5628;
9.080;0.2718;0.5936;
9.100;0.2668;0.6068;
9.120;0.2668;0.5364;
9.140;0.2668;0.5892;
9.160;0.2648;0.5980;
9.180;0.2648;0.5804;
9.200;0.2747;0.5144;
9.220;0.2747;0.5012;
9.240;0.2747;0.6287;
9.260;0.2692;0.5848;
9.280;0.2692;0.6024;
9.300;0.2695;0.5100;
9.320;0.2695;0.5936;
9.340;0.2695;0.5408;
9.360;0.2804;0.6156;
9.380;0.2804;0.6024;
9.400;0.2709;0.5188;
9.420;0.2709;0.5232;
9.440;0.2709;0.5760;
9.460;0.2657;0.6200;
9.480;0.2657;0.5364;
9.500;0.2770;0.5144;
9.520;0.2770;0.5100;
9.540;0.2770;0.5936;
9.560;0.2779;0.5936;
9.580;0.2779;0.5320;
9.600;0.2726;0.5980;
9.620;0.2726;0.5364;
9.640;0.2726;0.5012;
9.660;0.2772;0.5672;
9.680;0.2772;0.6112;
9.700;0.2682;0.5848;
9.720;0.2682;0.4880;
9.740;0.2682;0.5584;
9.760;0.2741;0.5848;
9.780;0.2741;0.5540;
9.800;0.2753;0.4485;
9.820;0.2753;0.6068;
9.840;0.2753;0.5628;
9.860;0.2729;0.6243;
9.880;0.2729;0.5584;
9.900;0.2746;0.5012;
9.920;0.2746;0.5584;
9.940;0.2746;0.5628;
9.960;0.2714;0.6683;
9.980;0.2714;0.5628;
10.000;0.2727;0.5892;
10.020;0.2727;0.5232;
10.040;0.2727;0.5232;
10.060;0.2773;0.5232;
10.080;0.2773;0.5364;
10.100;0.2723;0.5232;
10.120;0.2723;0.5408;
10.140;0.2723;0.5496;
10.160;0.2718;0.5628;
10.180;0.2718;0.5100;
10.200;0.2712;0.5848;
10.220;0.2712;0.6068;
10.240;0.2712;0.5804;
10.260;0.2723;0.6156;
10.280;0.2723;0.5540;
10.300;0.2717;0.6331;
10.320;0.2717;0.5584;
10.340;0.2717;0.5540;
10.360;0.2639;0.5804;
10.380;0.2639;0.5716;
10.400;0.2642;0.5892;
10.420;0.2642;0.5496;
10.440;0.2642;0.5672;
10.460;0.2753;0.5232;
10.480;0.2753;0.5804;
10.500;0.2703;0.6156;
10.520;0.2703;0.5496;
10.540;0.2703;0.6156;
10.560;0.2689;0.6112;
10.580;0.2689;0.6068;
10.600;0.2705;0.6243;
10.620;0.2705;0.5716;
10.640;0.2705;0.5760;
10.660;0.2694;0.4968;
10.680;0.2694;0.6331;
10.700;0.2714;0.5672;
10.720;0.2714;0.6068;
10.740;0.2714;0.5364;
10.760;0.2735;0.5716;
10.780;0.2735;0.5936;
10.800;0.2643;0.5892;
10.820;0.2643;0.6024;
10.840;0.2643;0.4749;
10.860;0.2682;0.5364;
10.880;0.2682;0.5584;
10.900;0.2790;0.6287;
10.920;0.2790;0.5012;
10.940;0.2790;0.5320;
10.960;0.2741;0.5540;
10.980;0.2741;0.5628;
11.000;0.2610;0.5408;
11.020;0.2610;0.5760;
11.040;0.2610;0.5364;
11.060;0.2659;0.6331;
11.080;0.2659;0.5364;
11.100;0.2734;0.6112;
11.120;0.2734;0.5320;
11.140;0.2734;0.5188;
11.160;0.2718;0.5012;
11.180;0.2718;0.5496;
11.200;0.2640;0.5408;
11.220;0.2640;0.5496;
11.240;0.2640;0.5408;
11.260;0.2683;0.5276;
11.280;0.2683;0.6156;
11.300;0.2727;0.5496;
11.320;0.2727;0.6639;
11.340;0.2727;0.4968;
11.360;0.2697;0.5628;
11.380;0.2697;0.5804;
11.400;0.2721;0.6287;
11.420;0.2721;0.5452;
11.440;0.2721;0.5892;
11.460;0.2734;0.5540;
11.480;0.2734;0.5804;
11.500;0.2770;0.5848;
11.520;0.2770;0.5584;
11.540;0.2770;0.6068;
11.560;0.2700;0.5540;
11.580;0.2700;0.5408;
11.600;0.2755;0.5936;
11.620;0.2755;0.5892;
11.640;0.2755;0.5188;
11.660;0.2756;0.6024;
11.680;0.2756;0.5452;
11.700;0.2688;0.5804;
11.720;0.2688;0.6156;
11.740;0.2688;0.5980;
11.760;0.2679;0.5408;
11.780;0.2679;0.5056;
11.800;0.2695;0.4880;
11.820;0.2695;0.6156;
11.840;0.2695;0.6463;
11.860;0.2694;0.5892;
11.880;0.2694;0.5232;
11.900;0.2659;0.5760;
11.920;0.2659;0.6463;
11.940;0.2659;0.5848;
11.960;0.2654;0.5848;
11.980;0.2654;0.5672;
12.000;0.2749;0.6112;
12.020;0.2749;0.6331;
12.040;0.2749;0.6112;
12.060;0.2683;0.5760;
12.080;0.2683;0.6243;
12.100;0.2747;0.6200;
12.120;0.2747;0.5628;
12.140;0.2747;0.6200;
12.160;0.2782;0.5716;
12.180;0.2782;0.5716;
12.200;0.2761;0.5276;
12.220;0.2761;0.5628;
12.240;0.2761;0.6024;
12.260;0.2700;0.6287;
12.280;0.2700;0.5188;
12.300;0.2683;0.6024;
12.320;0.2683;0.6024;
12.340;0.2683;0.6200;
12.360;0.2763;0.5408;
12.380;0.2763;0.5540;
12.400;0.2732;0.5672;
12.420;0.2732;0.6024;
12.440;0.2732;0.5848;
12.460;0.2691;0.5408;
12.480;0.2691;0.5496;
12.500;0.2695;0.5276;
12.520;0.2695;0.5276;
12.540;0.2695;0.5452;
12.560;0.2698;0.5804;
12.580;0.2698;0.5892;
12.600;0.2816;0.5540;
12.620;0.2816;0.5584;
12.640;0.2816;0.6243;
12.660;0.2695;0.6068;
12.680;0.2695;0.5408;
12.700;0.2567;0.5672;
12.720;0.2567;0.5716;
12.740;0.2567;0.5892;
12.760;0.2711;0.5276;
12.780;0.2711;0.5980;
12.800;0.2668;0.5760;
12.820;0.2668;0.5980;
12.840;0.2668;0.5936;
12.860;0.2708;0.5892;
12.880;0.2708;0.5892;
12.900;0.2688;0.5760;
12.920;0.2688;0.5628;
12.940;0.2688;0.5892;
12.960;0.2718;0.6156;
12.980;0.2718;0.6331;
13.000;0.2782;0.5276;
13.020;0.2782;0.5628;
13.040;0.2782;0.4793;
13.060;0.2802;0.5760;
13.080;0.2802;0.5716;
13.100;0.2741;0.5540;
13.120;0.2741;0.5672;
13.140;0.2741;0.5716;
13.160;0.2602;0.5628;
13.180;0.2602;0.5628;
13.200;0.2654;0.5584;
13.220;0.2654;0.5320;
13.240;0.2654;0.6024;
13.260;0.2709;0.6200;
13.280;0.2709;0.5848;
13.300;0.2686;0.5188;
13.320;0.2686;0.6068;
13.340;0.2686;0.5540;
13.360;0.2767;0.6024;
13.380;0.2767;0.5496;
13.400;0.2689;0.5716;
13.420;0.2689;0.4837;
13.440;0.2689;0.5760;
13.460;0.2798;0.6463;
13.480;0.2798;0.5980;
13.500;0.2767;0.5320;
13.520;0.2767;0.5760;
13.540;0.2767;0.6112;
13.560;0.2726;0.5980;
13.580;0.2726;0.6112;
13.600;0.2709;0.5804;
13.620;0.2709;0.5804;
13.640;0.2709;0.4968;
13.660;0.2727;0.6419;
13.680;0.2727;0.5320;
13.700;0.2676;0.5364;
13.720;0.2676;0.5276;
13.740;0.2676;0.6243;
13.760;0.2686;0.6024;
13.780;0.2686;0.5936;
13.800;0.2624;0.5276;
13.820;0.2624;0.6287;
13.840;0.2624;0.5628;
13.860;0.2709;0.6156;
13.880;0.2709;0.5496;
13.900;0.2730;0.5452;
13.920;0.2730;0.6331;
13.940;0.2730;0.6463;
13.960;0.2734;0.6331;
13.980;0.2734;0.5144;
14.000;0.2798;0.5804;
14.020;0.2798;0.5628;
14.040;0.2798;0.5980;
14.060;0.2605;0.5672;
14.080;0.2605;0.5408;
14.100;0.2720;0.5760;
14.120;0.2720;0.5892;
14.140;0.2720;0.5144;
14.160;0.2874;0.6331;
14.180;0.2874;0.5804;
14.200;0.2735;0.5496;
14.220;0.2735;0.5716;
14.240;0.2735;0.6156;
14.260;0.2747;0.5320;
14.280;0.2747;0.4749;
14.300;0.2764;0.5672;
14.320;0.2764;0.5672;
14.340;0.2764;0.5188;
14.360;0.2740;0.6024;
14.380;0.2740;0.6243;
14.400;0.2706;0.5628;
14.420;0.2706;0.5804;
14.440;0.2706;0.5540;
14.460;0.2642;0.5892;
14.480;0.2642;0.5408;
14.500;0.2752;0.5672;
14.520;0.2752;0.5496;
14.540;0.2752;0.6551;
14.560;0.2714;0.5276;
14.580;0.2714;0.5540;
14.600;0.2686;0.5276;
14.620;0.2686;0.5452;
14.640;0.2686;0.5628;
14.660;0.2689;0.5936;
14.680;0.2689;0.5232;
14.700;0.2750;0.5672;
14.720;0.2750;0.5540;
14.740;0.2750;0.5188;
14.760;0.2692;0.5452;
14.780;0.2692;0.6068;
14.800;0.2724;0.6068;
14.820;0.2724;0.5100;
14.840;0.2724;0.5584;
14.860;0.2694;0.5408;
14.880;0.2694;0.6068;
14.900;0.2747;0.5716;
14.920;0.2747;0.5628;
14.940;0.2747;0.5628;
14.960;0.2763;0.5848;
14.980;0.2763;0.7123;
15.000;0.2691;0.5760;
15.020;0.2691;0.5584;
15.040;0.2691;0.5540;
15.060;0.2674;0.5804;
15.080;0.2674;0.5628;
15.100;0.2685;0.5232;
15.120;0.2685;0.5012;
15.140;0.2685;0.5012;
15.160;0.2637;0.5936;
15.180;0.2637;0.6507;
15.200;0.2720;0.5188;
15.220;0.2720;0.5760;
15.240;0.2720;0.5056;
15.260;0.2792;0.5672;
15.280;0.2792;0.6112;
15.300;0.2679;0.5364;
15.320;0.2679;0.5628;
15.340;0.2679;0.5628;
15.360;0.2720;0.6727;
15.380;0.2720;0.6639;
15.400;0.2782;0.6463;
15.420;0.2782;0.5320;
15.440;0.2782;0.5672;
15.460;0.2732;0.5804;
15.480;0.2732;0.5936;
15.500;0.2749;0.5276;
15.520;0.2749;0.5276;
15.540;0.2749;0.5848;
15.560;0.2666;0.6507;
15.580;0.2666;0.5188;
15.600;0.2714;0.6156;
15.620;0.2714;0.5364;
15.640;0.2714;0.5628;
15.660;0.2766;0.5716;
15.680;0.2766;0.4968;
15.700;0.2698;0.5364;
15.720;0.2698;0.5100;
15.740;0.2698;0.5540;
15.760;0.2723;0.4968;
15.780;0.2723;0.5848;
15.800;0.2740;0.5716;
15.820;0.2740;0.6375;
15.840;0.2740;0.5408;
15.860;0.2705;0.5144;
15.880;0.2705;0.5760;
15.900;0.2614;0.5760;
15.920;0.2614;0.6463;
15.940;0.2614;0.5848;
15.960;0.2656;0.5848;
15.980;0.2656;0.5540;
16.000;0.2746;0.5144;
16.020;0.2746;0.5320;
16.040;0.2746;0.6156;
16.060;0.2793;0.5804;
16.080;0.2793;0.5760;
16.100;0.2659;0.5628;
16.120;0.2659;0.5100;
16.140;0.2659;0.6331;
16.160;0.2651;0.4968;
16.180;0.2651;0.5056;
16.200;0.2729;0.5936;
16.220;0.2729;0.6156;
16.240;0.2729;0.6200;
16.260;0.2643;0.5144;
16.280;0.2643;0.5540;
16.300;0.2668;0.6112;
16.320;0.2668;0.6287;
16.340;0.2668;0.5100;
16.360;0.2653;0.5848;
16.380;0.2653;0.5540;
16.400;0.2701;0.5672;
16.420;0.2701;0.6727;
16.440;0.2701;0.6200;
16.460;0.2657;0.5276;
16.480;0.2657;0.4968;
16.500;0.2721;0.6419;
16.520;0.2721;0.5804;
16.540;0.2721;0.5628;
16.560;0.2560;0.4529;
16.580;0.2560;0.5496;
16.600;0.2665;0.5892;
16.620;0.2665;0.5716;
16.640;0.2665;0.5980;
16.660;0.2720;0.5364;
16.680;0.2720;0.5276;
16.700;0.2741;0.6551;
16.720;0.2741;0.6507;
16.740;0.2741;0.5188;
16.760;0.2718;0.5056;
16.780;0.2718;0.5276;
16.800;0.2779;0.6375;
16.820;0.2779;0.5276;
16.840;0.2779;0.5628;
16.860;0.2726;0.5804;
16.880;0.2726;0.5276;
16.900;0.2767;0.5936;
16.920;0.2767;0.6156;
16.940;0.2767;0.5716;
16.960;0.2680;0.6068;
16.980;0.2680;0.5672;
17.000;0.2700;0.5232;
17.020;0.2700;0.5584;
17.040;0.2700;0.4880;
17.060;0.2672;0.6375;
17.080;0.2672;0.5408;
17.100;0.2648;0.5804;
17.120;0.2648;0.6727;
17.140;0.2648;0.6024;
17.160;0.2709;0.5760;
17.180;0.2709;0.6243;
17.200;0.2663;0.5936;
17.220;0.2663;0.5892;
17.240;0.2663;0.6771;
17.260;0.2689;0.6068;
17.280;0.2689;0.5892;
17.300;0.2746;0.6419;
17.320;0.2746;0.5936;
17.340;0.2746;0.6287;
17.360;0.2677;0.5716;
17.380;0.2677;0.5848;
17.400;0.2685;0.6683;
17.420;0.2685;0.5848;
17.440;0.2685;0.6243;
17.460;0.2643;0.6156;
17.480;0.2643;0.6068;
17.500;0.2723;0.6024;
17.520;0.2723;0.6068;
17.540;0.2723;0.6419;
17.560;0.2732;0.6815;
17.580;0.2732;0.5364;
17.600;0.2686;0.5540;
17.620;0.2686;0.5804;
17.640;0.2686;0.6419;
17.660;0.2614;0.6375;
17.680;0.2614;0.5452;
17.700;0.2701;0.5320;
17.720;0.2701;0.5628;
17.740;0.2701;0.5584;
17.760;0.2654;0.6112;
17.780;0.2654;0.5496;
17.800;0.2711;0.5672;
17.820;0.2711;0.6243;
17.840;0.2711;0.6287;
17.860;0.2718;0.6200;
17.880;0.2718;0.5364;
17.900;0.2669;0.5980;
17.920;0.2669;0.6112;
17.940;0.2669;0.6507;
17.960;0.2761;0.5892;
17.980;0.2761;0.5496;
18.000;0.2708;0.4968;
18.020;0.2708;0.5320;
18.040;0.2708;0.6112;
18.060;0.2706;0.5892;
18.080;0.2706;0.4617;
18.100;0.2729;0.5804;
18.120;0.2729;0.5496;
18.140;0.2729;0.5320;
18.160;0.2634;0.5760;
18.180;0.2634;0.5320;
18.200;0.2694;0.5892;
18.220;0.2694;0.4968;
18.240;0.2694;0.5936;
18.260;0.2778;0.5672;
18.280;0.2778;0.5760;
18.300;0.2610;0.5496;
18.320;0.2610;0.5980;
18.340;0.2610;0.5452;
18.360;0.2689;0.5144;
18.380;0.2689;0.5144;
18.400;0.2692;0.4793;
18.420;0.2692;0.5628;
18.440;0.2692;0.5496;
18.460;0.2714;0.5980;
18.480;0.2714;0.5100;
18.500;0.2668;0.5452;
18.520;0.2668;0.5452;
18.540;0.2668;0.5936;
18.560;0.2767;0.5804;
18.580;0.2767;0.6243;
18.600;0.2639;0.6243;
18.620;0.2639;0.6200;
18.640;0.2639;0.5848;
18.660;0.2613;0.5672;
18.680;0.2613;0.6375;
18.700;0.2701;0.6507;
18.720;0.2701;0.5364;
18.740;0.2701;0.5364;
18.760;0.2659;0.5672;
18.780;0.2659;0.6507;
