MC3;
time/s;Fluo/V;P700/V;
0.365;-0.0005;0.0198;
0.370;-0.0005;0.0208;
0.375;-0.0005;0.0188;
0.380;-0.0005;0.0214;
0.385;-0.0005;0.0223;
0.390;-0.0005;0.0206;
0.395;0.0038;0.0200;
0.400;0.0038;0.0203;
0.405;0.0038;0.0211;
0.410;0.0038;0.0205;
0.415;0.0038;0.0195;
0.420;0.0038;0.0211;
0.425;0.0038;0.0197;
0.430;0.0038;0.0208;
0.435;0.0038;0.0195;
0.440;0.0038;0.0192;
0.445;0.0005;0.0198;
0.450;0.0005;0.0197;
0.455;0.0005;0.0192;
0.460;0.0005;0.0198;
0.465;0.0005;0.0214;
0.470;0.0005;0.0195;
0.475;0.0005;0.0188;
0.480;0.0005;0.0206;
0.485;0.0005;0.0185;
0.490;0.0005;0.0209;
0.495;0.0011;0.0223;
0.500;0.0011;0.0220;
0.505;0.0011;0.0215;
0.510;0.0011;0.0192;
0.515;0.0011;0.0205;
0.520;0.0011;0.0182;
0.525;0.0011;0.0192;
0.530;0.0011;0.0215;
0.535;0.0011;0.0224;
0.540;0.0011;0.0198;
0.545;0.0002;0.0188;
0.550;0.0002;0.0201;
0.555;0.0002;0.0209;
0.560;0.0002;0.0198;
0.565;0.0002;0.0203;
0.570;0.0002;0.0212;
0.575;0.0002;0.0191;
0.580;0.0002;0.0194;
0.585;0.0002;0.0234;
0.590;0.0002;0.0185;
0.595;0.0029;0.0203;
0.600;0.0029;0.0180;
0.605;0.0029;0.0212;
0.610;0.0029;0.0203;
0.615;0.0029;0.0195;
0.620;0.0029;0.0188;
0.625;0.0029;0.0203;
0.630;0.0029;0.0198;
0.635;0.0029;0.0206;
0.640;0.0029;0.0206;
0.645;-0.0003;0.0203;
0.650;-0.0003;0.0209;
0.655;-0.0003;0.0205;
0.660;-0.0003;0.0206;
0.665;-0.0003;0.0223;
0.670;-0.0003;0.0218;
0.675;-0.0003;0.0200;
0.680;-0.0003;0.0215;
0.685;-0.0003;0.0218;
0.690;-0.0003;0.0205;
0.695;0.0061;0.0218;
0.700;0.0061;0.0195;
0.705;0.0061;0.0230;
0.710;0.0061;0.0183;
0.715;0.0061;0.0227;
0.720;0.0061;0.0218;
0.725;0.0061;0.0200;
0.730;0.0061;0.0203;
0.735;0.0061;0.0218;
0.740;0.0061;0.0200;
0.745;-0.0037;0.0208;
0.750;-0.0037;0.0215;
0.755;-0.0037;0.0214;
0.760;-0.0037;0.0211;
0.765;-0.0037;0.0192;
0.770;-0.0037;0.0198;
0.775;-0.0037;0.0188;
0.780;-0.0037;0.0208;
0.785;-0.0037;0.0201;
0.790;-0.0037;0.0188;
0.795;0.0084;0.0208;
0.800;0.0084;0.0209;
0.805;0.0084;0.0217;
0.810;0.0084;0.0208;
0.815;0.0084;0.0215;
0.820;0.0084;0.0177;
0.825;0.0084;0.0212;
0.830;0.0084;0.0218;
0.835;0.0084;0.0208;
0.840;0.0084;0.0189;
0.845;-0.0023;0.0217;
0.850;-0.0023;0.0206;
0.855;-0.0023;0.0209;
0.860;-0.0023;0.0201;
0.865;-0.0023;0.0206;
0.870;-0.0023;0.0252;
0.875;-0.0023;0.0203;
0.880;-0.0023;0.0209;
0.885;-0.0023;0.0203;
0.890;-0.0023;0.0224;
0.895;0.0024;0.0226;
0.900;0.0024;0.0192;
0.905;0.0024;0.0224;
0.910;0.0024;0.0188;
0.915;0.0024;0.0209;
0.920;0.0024;0.0211;
0.925;0.0024;0.0215;
0.930;0.0024;0.0203;
0.935;0.0024;0.0230;
0.940;0.0024;0.0232;
0.945;-0.0012;0.0206;
0.950;-0.0012;0.0200;
0.955;-0.0012;0.0186;
0.960;-0.0012;0.0212;
0.965;-0.0012;0.0205;
0.970;-0.0012;0.0203;
0.975;-0.0012;0.0201;
0.980;-0.0012;0.0194;
0.985;-0.0012;0.0209;
0.990;-0.0012;0.0211;
0.995;0.0061;0.0203;
1.000;0.0061;0.0256;
1.005;0.0061;0.0560;
1.010;0.0061;0.0591;
1.015;0.0061;0.0572;
1.020;0.0061;0.0577;
1.025;0.0061;0.0546;
1.030;0.0061;0.0559;
1.035;0.0061;0.0578;
1.040;-0.0020;0.0551;
1.045;-0.0020;0.0577;
1.050;-0.0020;0.0559;
1.055;-0.0020;0.0571;
1.060;-0.0020;0.0589;
1.065;-0.0020;0.0568;
1.070;-0.0020;0.0554;
1.075;-0.0020;0.0589;
1.080;-0.0020;0.0560;
1.085;-0.0020;0.0574;
1.090;0.0114;0.0568;
1.095;0.0114;0.0534;
1.100;0.0114;0.0569;
1.105;0.0114;0.0562;
1.110;0.0114;0.0585;
1.115;0.0114;0.0580;
1.120;0.0114;0.0562;
1.125;0.0114;0.0582;
1.130;0.0114;0.0542;
1.135;0.0114;0.0554;
1.140;0.0012;0.0569;
1.145;0.0012;0.0559;
1.150;0.0012;0.0572;
1.155;0.0012;0.0569;
1.160;0.0012;0.0572;
1.165;0.0012;0.0582;
1.170;0.0012;0.0562;
1.175;0.0012;0.0559;
1.180;0.0012;0.0582;
1.185;0.0012;0.0577;
1.190;-0.0012;0.0580;
1.195;-0.0012;0.0586;
1.200;-0.0012;0.0566;
1.205;-0.0012;0.0586;
1.210;-0.0012;0.0591;
1.215;-0.0012;0.0583;
1.220;-0.0012;0.0572;
1.225;-0.0012;0.0566;
1.230;-0.0012;0.0575;
1.235;-0.0012;0.0559;
1.240;0.0015;0.0574;
1.245;0.0015;0.0562;
1.250;0.0015;0.0572;
1.255;0.0015;0.0560;
1.260;0.0015;0.0562;
1.265;0.0015;0.0571;
1.270;0.0015;0.0583;
1.275;0.0015;0.0589;
1.280;0.0015;0.0578;
1.285;0.0015;0.0571;
1.290;0.0060;0.0595;
1.295;0.0060;0.0569;
1.300;0.0060;0.0572;
1.305;0.0060;0.0595;
1.310;0.0060;0.0557;
1.315;0.0060;0.0574;
1.320;0.0060;0.0580;
1.325;0.0060;0.0588;
1.330;0.0060;0.0582;
1.335;0.0060;0.0556;
1.340;-0.0050;0.0569;
1.345;-0.0050;0.0585;
1.350;-0.0050;0.0583;
1.355;-0.0050;0.0601;
1.360;-0.0050;0.0575;
1.365;-0.0050;0.0562;
1.370;-0.0050;0.0574;
1.375;-0.0050;0.0566;
1.380;-0.0050;0.0582;
1.385;-0.0050;0.0568;
1.390;-0.0002;0.0568;
1.395;-0.0002;0.0582;
1.400;-0.0002;0.0589;
1.405;-0.0002;0.0545;
1.410;-0.0002;0.0591;
1.415;-0.0002;0.0591;
1.420;-0.0002;0.0559;
1.425;-0.0002;0.0592;
1.430;-0.0002;0.0578;
1.435;-0.0002;0.0556;
1.440;0.0023;0.0591;
1.445;0.0023;0.0580;
1.450;0.0023;0.0560;
1.455;0.0023;0.0574;
1.460;0.0023;0.0569;
1.465;0.0023;0.0594;
1.470;0.0023;0.0582;
1.475;0.0023;0.0578;
1.480;0.0023;0.0600;
1.485;0.0023;0.0574;
1.490;0.0037;0.0566;
1.495;0.0037;0.0580;
1.500;0.0037;0.0591;
1.505;0.0037;0.0565;
1.510;0.0037;0.0562;
1.515;0.0037;0.0577;
1.520;0.0037;0.0565;
1.525;0.0037;0.0574;
1.530;0.0037;0.0582;
1.535;0.0037;0.0572;
1.540;-0.0011;0.0582;
1.545;-0.0011;0.0604;
1.550;-0.0011;0.0556;
1.555;-0.0011;0.0578;
1.560;-0.0011;0.0585;
1.565;-0.0011;0.0586;
1.570;-0.0011;0.0563;
1.575;-0.0011;0.0588;
1.580;-0.0011;0.0583;
1.585;-0.0011;0.0588;
1.590;0.0049;0.0585;
1.595;0.0049;0.0601;
1.600;0.0049;0.0603;
1.605;0.0049;0.0589;
1.610;0.0049;0.0575;
1.615;0.0049;0.0568;
1.620;0.0049;0.0580;
1.625;0.0049;0.0578;
1.630;0.0049;0.0595;
1.635;0.0049;0.0582;
1.640;0.0061;0.0586;
1.645;0.0061;0.0563;
1.650;0.0061;0.0577;
1.655;0.0061;0.0594;
1.660;0.0061;0.0594;
1.665;0.0061;0.0591;
1.670;0.0061;0.0562;
1.675;0.0061;0.0566;
1.680;0.0061;0.0585;
1.685;0.0061;0.0578;
1.690;0.0041;0.0577;
1.695;0.0041;0.0597;
1.700;0.0041;0.0582;
1.705;0.0041;0.0553;
1.710;0.0041;0.0588;
1.715;0.0041;0.0589;
1.720;0.0041;0.0575;
1.725;0.0041;0.0577;
1.730;0.0041;0.0568;
1.735;0.0041;0.0568;
1.740;0.0005;0.0594;
1.745;0.0005;0.0569;
1.750;0.0005;0.0556;
1.755;0.0005;0.0578;
1.760;0.0005;0.0575;
1.765;0.0005;0.0580;
1.770;0.0005;0.0594;
1.775;0.0005;0.0577;
1.780;0.0005;0.0588;
1.785;0.0005;0.0574;
1.790;-0.0052;0.0568;
1.795;-0.0052;0.0566;
1.800;-0.0052;0.0588;
1.805;-0.0052;0.0594;
1.810;-0.0052;0.0559;
1.815;-0.0052;0.0588;
1.820;-0.0052;0.0572;
1.825;-0.0052;0.0578;
1.830;-0.0052;0.0582;
1.835;-0.0052;0.0571;
1.840;-0.0018;0.0563;
1.845;-0.0018;0.0582;
1.850;-0.0018;0.0582;
1.855;-0.0018;0.0560;
1.860;-0.0018;0.0571;
1.865;-0.0018;0.0598;
1.870;-0.0018;0.0578;
1.875;-0.0018;0.0577;
1.880;-0.0018;0.0575;
1.885;-0.0018;0.0574;
1.890;-0.0018;0.0569;
1.895;-0.0018;0.0583;
1.900;-0.0018;0.0578;
1.905;-0.0018;0.0575;
1.910;-0.0018;0.0574;
1.915;-0.0018;0.0588;
1.920;-0.0018;0.0556;
1.925;-0.0018;0.0578;
1.930;-0.0018;0.0574;
1.935;-0.0018;0.0568;
1.940;0.0017;0.0577;
1.945;0.0017;0.0574;
1.950;0.0017;0.0560;
1.955;0.0017;0.0594;
1.960;0.0017;0.0562;
1.965;0.0017;0.0585;
1.970;0.0017;0.0572;
1.975;0.0017;0.0560;
1.980;0.0017;0.0578;
1.985;0.0017;0.0580;
1.990;0.0047;0.0571;
1.995;0.0047;0.0578;
2.000;0.0047;0.0574;
2.005;0.0047;0.0565;
2.010;0.0047;0.0536;
2.015;0.0047;0.0217;
2.020;0.0047;0.0208;
2.025;0.0047;0.0206;
2.030;0.0047;0.0230;
2.035;0.0026;0.0220;
2.040;0.0026;0.0185;
2.045;0.0026;0.0185;
2.050;0.0026;0.0224;
2.055;0.0026;0.0205;
2.060;0.0026;0.0208;
2.065;0.0026;0.0223;
2.070;0.0026;0.0220;
2.075;0.0026;0.0209;
2.080;0.0026;0.0211;
2.085;0.0017;0.0230;
2.090;0.0017;0.0206;
2.095;0.0017;0.0198;
2.100;0.0017;0.0212;
2.105;0.0017;0.0205;
2.110;0.0017;0.0192;
2.115;0.0017;0.0200;
2.120;0.0017;0.0186;
2.125;0.0017;0.0195;
2.130;0.0017;0.0205;
2.135;0.0024;0.0218;
2.140;0.0024;0.0221;
2.145;0.0024;0.0221;
2.150;0.0024;0.0215;
2.155;0.0024;0.0203;
2.160;0.0024;0.0214;
2.165;0.0024;0.0205;
2.170;0.0024;0.0218;
2.175;0.0024;0.0203;
2.180;0.0024;0.0188;
2.185;0.0053;0.0235;
2.190;0.0053;0.0221;
2.195;0.0053;0.0218;
2.200;0.0053;0.0205;
2.205;0.0053;0.0218;
2.210;0.0053;0.0203;
2.215;0.0053;0.0197;
2.220;0.0053;0.0209;
2.225;0.0053;0.0192;
2.230;0.0053;0.0183;
2.235;0.0032;0.0224;
2.240;0.0032;0.0201;
2.245;0.0032;0.0212;
2.250;0.0032;0.0232;
2.255;0.0032;0.0203;
2.260;0.0032;0.0189;
2.265;0.0032;0.0211;
2.270;0.0032;0.0191;
2.275;0.0032;0.0198;
2.280;0.0032;0.0171;
2.285;0.0011;0.0186;
2.290;0.0011;0.0217;
2.295;0.0011;0.0192;
2.300;0.0011;0.0197;
2.305;0.0011;0.0206;
2.310;0.0011;0.0209;
2.315;0.0011;0.0205;
2.320;0.0011;0.0203;
2.325;0.0011;0.0215;
2.330;0.0011;0.0211;
2.335;0.0035;0.0215;
2.340;0.0035;0.0211;
2.345;0.0035;0.0192;
2.350;0.0035;0.0179;
2.355;0.0035;0.0206;
2.360;0.0035;0.0218;
2.365;0.0035;0.0208;
2.370;0.0035;0.0212;
2.375;0.0035;0.0214;
2.380;0.0035;0.0227;
2.385;0.0081;0.0220;
2.390;0.0081;0.0201;
2.395;0.0081;0.0197;
2.400;0.0081;0.0185;
2.405;0.0081;0.0192;
2.410;0.0081;0.0209;
2.415;0.0081;0.0191;
2.420;0.0081;0.0197;
2.425;0.0081;0.0217;
2.430;0.0081;0.0206;
2.435;-0.0002;0.0192;
2.440;-0.0002;0.0206;
2.445;-0.0002;0.0195;
2.450;-0.0002;0.0215;
2.455;-0.0002;0.0221;
2.460;-0.0002;0.0197;
2.465;-0.0002;0.0209;
2.470;-0.0002;0.0189;
2.475;-0.0002;0.0205;
2.480;-0.0002;0.0191;
2.485;-0.0011;0.0209;
2.490;-0.0011;0.0211;
2.495;-0.0011;0.0215;
2.500;-0.0011;0.0180;
2.505;-0.0011;0.0227;
2.510;-0.0011;0.0214;
2.515;-0.0011;0.0203;
2.520;-0.0011;0.0214;
2.525;-0.0011;0.0212;
2.530;-0.0011;0.0194;
2.535;0.0000;0.0214;
2.540;0.0000;0.0205;
2.545;0.0000;0.0208;
2.550;0.0000;0.0214;
2.555;0.0000;0.0217;
2.560;0.0000;0.0185;
2.565;0.0000;0.0206;
2.570;0.0000;0.0223;
2.575;0.0000;0.0205;
2.580;0.0000;0.0191;
2.585;0.0008;0.0192;
2.590;0.0008;0.0214;
2.595;0.0008;0.0212;
2.600;0.0008;0.0188;
2.605;0.0008;0.0208;
2.610;0.0008;0.0209;
2.615;0.0008;0.0205;
2.620;0.0008;0.0194;
2.625;0.0008;0.0229;
2.630;0.0008;0.0220;
2.635;0.0063;0.0197;
2.640;0.0063;0.0183;
2.645;0.0063;0.0227;
2.650;0.0063;0.0205;
2.655;0.0063;0.0217;
2.660;0.0063;0.0240;
2.665;0.0063;0.0201;
2.670;0.0063;0.0200;
2.675;0.0063;0.0197;
2.680;0.0063;0.0195;
2.685;0.0032;0.0215;
2.690;0.0032;0.0197;
2.695;0.0032;0.0214;
2.700;0.0032;0.0194;
2.705;0.0032;0.0194;
2.710;0.0032;0.0209;
2.715;0.0032;0.0223;
2.720;0.0032;0.0212;
2.725;0.0032;0.0205;
2.730;0.0032;0.0208;
2.735;0.0037;0.0179;
2.740;0.0037;0.0209;
2.745;0.0037;0.0211;
2.750;0.0037;0.0195;
2.755;0.0037;0.0203;
2.760;0.0037;0.0201;
2.765;0.0037;0.0197;
2.770;0.0037;0.0192;
2.775;0.0037;0.0208;
2.780;0.0037;0.0218;
2.785;0.0061;0.0200;
2.790;0.0061;0.0211;
2.795;0.0061;0.0218;
2.800;0.0061;0.0211;
2.805;0.0061;0.0226;
2.810;0.0061;0.0209;
2.815;0.0061;0.0194;
2.820;0.0061;0.0214;
2.825;0.0061;0.0206;
2.830;0.0061;0.0212;
2.835;0.0040;0.0214;
2.840;0.0040;0.0189;
2.845;0.0040;0.0209;
2.850;0.0040;0.0205;
2.855;0.0040;0.0224;
2.860;0.0040;0.0224;
2.865;0.0040;0.0191;
2.870;0.0040;0.0191;
2.875;0.0040;0.0212;
2.880;0.0040;0.0201;
2.885;0.0031;0.0201;
2.890;0.0031;0.0194;
2.895;0.0031;0.0200;
2.900;0.0031;0.0217;
2.905;0.0031;0.0200;
2.910;0.0031;0.0192;
2.915;0.0031;0.0182;
2.920;0.0031;0.0201;
2.925;0.0031;0.0217;
2.930;0.0031;0.0201;
2.935;-0.0005;0.0197;
2.940;-0.0005;0.0183;
2.945;-0.0005;0.0211;
2.950;-0.0005;0.0206;
2.955;-0.0005;0.0229;
2.960;-0.0005;0.0227;
2.965;-0.0005;0.0211;
2.970;-0.0005;0.0205;
2.975;-0.0005;0.0195;
2.980;-0.0005;0.0212;
2.985;0.0003;0.0188;
2.990;0.0003;0.0205;
2.995;0.0003;0.0224;
3.000;0.0003;0.0192;
