MC3;
time/s;Fluo/V;P700/V;
1.250;0.0032;0.0560;
1.255;0.0032;0.0578;
1.260;0.0032;0.0569;
1.265;0.0032;0.0559;
1.270;0.0032;0.0553;
1.275;0.0032;0.0543;
1.280;-0.0035;0.0592;
1.285;-0.0035;0.0546;
1.290;-0.0035;0.0589;
1.295;-0.0035;0.0586;
1.300;-0.0035;0.0586;
1.305;-0.0035;0.0575;
1.310;-0.0035;0.0595;
1.315;-0.0035;0.0568;
1.320;-0.0035;0.0574;
1.325;-0.0035;0.0560;
1.330;0.0015;0.0574;
1.335;0.0015;0.0565;
1.340;0.0015;0.0571;
1.345;0.0015;0.0582;
1.350;0.0015;0.0557;
1.355;0.0015;0.0580;
1.360;0.0015;0.0574;
1.365;0.0015;0.0560;
1.370;0.0015;0.0553;
1.375;0.0015;0.0585;
1.380;-0.0073;0.0571;
1.385;-0.0073;0.0569;
1.390;-0.0073;0.0575;
1.395;-0.0073;0.0574;
1.400;-0.0073;0.0572;
1.405;-0.0073;0.0553;
1.410;-0.0073;0.0569;
1.415;-0.0073;0.0588;
1.420;-0.0073;0.0553;
1.425;-0.0073;0.0563;
1.430;-0.0017;0.0568;
1.435;-0.0017;0.0591;
1.440;-0.0017;0.0568;
1.445;-0.0017;0.0556;
1.450;-0.0017;0.0566;
1.455;-0.0017;0.0556;
1.460;-0.0017;0.0553;
1.465;-0.0017;0.0582;
1.470;-0.0017;0.0560;
1.475;-0.0017;0.0569;
1.480;0.0041;0.0565;
1.485;0.0041;0.0560;
1.490;0.0041;0.0562;
1.495;0.0041;0.0566;
1.500;0.0041;0.0554;
1.505;0.0041;0.0604;
1.510;0.0041;0.0571;
1.515;0.0041;0.0557;
1.520;0.0041;0.0566;
1.525;0.0041;0.0566;
1.530;0.0026;0.0548;
1.535;0.0026;0.0551;
1.540;0.0026;0.0562;
1.545;0.0026;0.0577;
1.550;0.0026;0.0580;
1.555;0.0026;0.0559;
1.560;0.0026;0.0586;
1.565;0.0026;0.0554;
1.570;0.0026;0.0566;
1.575;0.0026;0.0566;
1.580;-0.0021;0.0559;
1.585;-0.0021;0.0568;
1.590;-0.0021;0.0572;
1.595;-0.0021;0.0565;
1.600;-0.0021;0.0563;
1.605;-0.0021;0.0553;
1.610;-0.0021;0.0580;
1.615;-0.0021;0.0563;
1.620;-0.0021;0.0565;
1.625;-0.0021;0.0578;
1.630;-0.0009;0.0598;
1.635;-0.0009;0.0560;
1.640;-0.0009;0.0560;
1.645;-0.0009;0.0592;
1.650;-0.0009;0.0585;
1.655;-0.0009;0.0543;
1.660;-0.0009;0.0578;
1.665;-0.0009;0.0574;
1.670;-0.0009;0.0574;
1.675;-0.0009;0.0565;
1.680;-0.0043;0.0594;
1.685;-0.0043;0.0577;
1.690;-0.0043;0.0563;
1.695;-0.0043;0.0582;
1.700;-0.0043;0.0562;
1.705;-0.0043;0.0551;
1.710;-0.0043;0.0575;
1.715;-0.0043;0.0536;
1.720;-0.0043;0.0577;
1.725;-0.0043;0.0566;
1.730;-0.0002;0.0588;
1.735;-0.0002;0.0577;
1.740;-0.0002;0.0569;
1.745;-0.0002;0.0560;
1.750;-0.0002;0.0586;
1.755;-0.0002;0.0556;
1.760;-0.0002;0.0577;
1.765;-0.0002;0.0569;
1.770;-0.0002;0.0557;
1.775;-0.0002;0.0559;
1.780;-0.0011;0.0569;
1.785;-0.0011;0.0549;
1.790;-0.0011;0.0578;
1.795;-0.0011;0.0575;
1.800;-0.0011;0.0562;
1.805;-0.0011;0.0583;
1.810;-0.0011;0.0583;
1.815;-0.0011;0.0574;
1.820;-0.0011;0.0589;
1.825;-0.0011;0.0580;
1.830;-0.0043;0.0556;
1.835;-0.0043;0.0548;
1.840;-0.0043;0.0554;
1.845;-0.0043;0.0560;
1.850;-0.0043;0.0560;
1.855;-0.0043;0.0559;
1.860;-0.0043;0.0554;
1.865;-0.0043;0.0571;
1.870;-0.0043;0.0578;
1.875;-0.0043;0.0566;
1.880;-0.0081;0.0559;
1.885;-0.0081;0.0566;
1.890;-0.0081;0.0566;
1.895;-0.0081;0.0583;
1.900;-0.0081;0.0565;
1.905;-0.0081;0.0551;
1.910;-0.0081;0.0569;
1.915;-0.0081;0.0566;
1.920;-0.0081;0.0539;
1.925;-0.0081;0.0539;
1.930;-0.0052;0.0578;
1.935;-0.0052;0.0566;
1.940;-0.0052;0.0549;
1.945;-0.0052;0.0582;
1.950;-0.0052;0.0553;
1.955;-0.0052;0.0528;
1.960;-0.0052;0.0542;
1.965;-0.0052;0.0566;
1.970;-0.0052;0.0545;
1.975;-0.0052;0.0566;
1.980;0.0029;0.0589;
1.985;0.0029;0.0557;
1.990;0.0029;0.0559;
1.995;0.0029;0.0588;
2.000;0.0029;0.0574;
2.005;0.0029;0.0565;
2.010;0.0029;0.0562;
2.015;0.0029;0.0530;
2.020;0.0029;0.0209;
2.025;0.0029;0.0217;
2.030;-0.0021;0.0247;
2.035;-0.0021;0.0212;
2.040;-0.0021;0.0217;
2.045;-0.0021;0.0226;
2.050;-0.0021;0.0203;
2.055;-0.0021;0.0224;
2.060;-0.0021;0.0211;
2.065;-0.0021;0.0226;
2.070;-0.0021;0.0215;
2.075;-0.0021;0.0209;
2.080;-0.0026;0.0224;
2.085;-0.0026;0.0215;
2.090;-0.0026;0.0221;
2.095;-0.0026;0.0226;
2.100;-0.0026;0.0217;
2.105;-0.0026;0.0221;
2.110;-0.0026;0.0214;
2.115;-0.0026;0.0241;
2.120;-0.0026;0.0241;
2.125;-0.0026;0.0223;
2.130;-0.0069;0.0209;
2.135;-0.0069;0.0223;
2.140;-0.0069;0.0240;
2.145;-0.0069;0.0232;
2.150;-0.0069;0.0234;
2.155;-0.0069;0.0224;
2.160;-0.0069;0.0234;
2.165;-0.0069;0.0226;
2.170;-0.0069;0.0208;
2.175;-0.0069;0.0218;
2.180;-0.0044;0.0223;
2.185;-0.0044;0.0217;
2.190;-0.0044;0.0220;
2.195;-0.0044;0.0247;
2.200;-0.0044;0.0218;
2.205;-0.0044;0.0211;
2.210;-0.0044;0.0209;
2.215;-0.0044;0.0218;
2.220;-0.0044;0.0214;
2.225;-0.0044;0.0220;
2.230;-0.0058;0.0226;
2.235;-0.0058;0.0223;
2.240;-0.0058;0.0209;
2.245;-0.0058;0.0203;
2.250;-0.0058;0.0217;
2.255;-0.0058;0.0209;
2.260;-0.0058;0.0221;
2.265;-0.0058;0.0223;
2.270;-0.0058;0.0215;
2.275;-0.0058;0.0217;
2.280;0.0009;0.0211;
2.285;0.0009;0.0220;
2.290;0.0009;0.0221;
2.295;0.0009;0.0212;
2.300;0.0009;0.0224;
2.305;0.0009;0.0211;
2.310;0.0009;0.0238;
2.315;0.0009;0.0249;
2.320;0.0009;0.0221;
2.325;0.0009;0.0223;
2.330;-0.0066;0.0234;
2.335;-0.0066;0.0226;
2.340;-0.0066;0.0244;
2.345;-0.0066;0.0234;
2.350;-0.0066;0.0217;
2.355;-0.0066;0.0227;
2.360;-0.0066;0.0212;
2.365;-0.0066;0.0237;
2.370;-0.0066;0.0227;
2.375;-0.0066;0.0232;
2.380;0.0011;0.0232;
2.385;0.0011;0.0244;
2.390;0.0011;0.0230;
2.395;0.0011;0.0256;
2.400;0.0011;0.0241;
2.405;0.0011;0.0220;
2.410;0.0011;0.0253;
2.415;0.0011;0.0229;
2.420;0.0011;0.0227;
2.425;0.0011;0.0229;
2.430;-0.0021;0.0224;
2.435;-0.0021;0.0275;
2.440;-0.0021;0.0217;
2.445;-0.0021;0.0220;
2.450;-0.0021;0.0243;
2.455;-0.0021;0.0234;
2.460;-0.0021;0.0256;
2.465;-0.0021;0.0217;
2.470;-0.0021;0.0218;
2.475;-0.0021;0.0230;
2.480;0.0052;0.0240;
2.485;0.0052;0.0244;
2.490;0.0052;0.0235;
2.495;0.0052;0.0205;
2.500;0.0052;0.0221;
2.505;0.0052;0.0197;
2.510;0.0052;0.0212;
2.515;0.0052;0.0217;
2.520;0.0052;0.0232;
2.525;0.0052;0.0224;
2.530;0.0035;0.0237;
2.535;0.0035;0.0232;
2.540;0.0035;0.0223;
2.545;0.0035;0.0240;
2.550;0.0035;0.0205;
2.555;0.0035;0.0234;
2.560;0.0035;0.0241;
2.565;0.0035;0.0247;
2.570;0.0035;0.0244;
2.575;0.0035;0.0218;
2.580;0.0058;0.0220;
2.585;0.0058;0.0237;
2.590;0.0058;0.0230;
2.595;0.0058;0.0230;
2.600;0.0058;0.0218;
2.605;0.0058;0.0244;
2.610;0.0058;0.0212;
2.615;0.0058;0.0220;
2.620;0.0058;0.0201;
2.625;0.0058;0.0215;
2.630;0.0070;0.0230;
2.635;0.0070;0.0252;
2.640;0.0070;0.0243;
2.645;0.0070;0.0221;
2.650;0.0070;0.0253;
2.655;0.0070;0.0267;
2.660;0.0070;0.0232;
2.665;0.0070;0.0241;
2.670;0.0070;0.0215;
2.675;0.0070;0.0237;
2.680;-0.0006;0.0244;
2.685;-0.0006;0.0224;
2.690;-0.0006;0.0241;
2.695;-0.0006;0.0241;
2.700;-0.0006;0.0237;
2.705;-0.0006;0.0250;
2.710;-0.0006;0.0226;
2.715;-0.0006;0.0227;
2.720;-0.0006;0.0224;
2.725;-0.0006;0.0249;
2.730;-0.0003;0.0230;
2.735;-0.0003;0.0238;
2.740;-0.0003;0.0229;
2.745;-0.0003;0.0230;
2.750;-0.0003;0.0252;
2.755;-0.0003;0.0226;
2.760;-0.0003;0.0227;
2.765;-0.0003;0.0232;
2.770;-0.0003;0.0255;
2.775;-0.0003;0.0230;
2.780;-0.0060;0.0238;
2.785;-0.0060;0.0244;
2.790;-0.0060;0.0215;
2.795;-0.0060;0.0235;
2.800;-0.0060;0.0259;
2.805;-0.0060;0.0238;
2.810;-0.0060;0.0238;
2.815;-0.0060;0.0235;
2.820;-0.0060;0.0250;
2.825;-0.0060;0.0237;
2.830;0.0037;0.0241;
2.835;0.0037;0.0244;
2.840;0.0037;0.0244;
2.845;0.0037;0.0209;
2.850;0.0037;0.0212;
2.855;0.0037;0.0258;
2.860;0.0037;0.0220;
2.865;0.0037;0.0209;
2.870;0.0037;0.0246;
2.875;0.0037;0.0240;
2.880;0.0008;0.0220;
2.885;0.0008;0.0220;
2.890;0.0008;0.0235;
2.895;0.0008;0.0220;
2.900;0.0008;0.0208;
2.905;0.0008;0.0237;
2.910;0.0008;0.0227;
2.915;0.0008;0.0223;
2.920;0.0008;0.0258;
2.925;0.0008;0.0243;
2.930;0.0006;0.0229;
2.935;0.0006;0.0234;
2.940;0.0006;0.0224;
2.945;0.0006;0.0211;
2.950;0.0006;0.0229;
2.955;0.0006;0.0230;
2.960;0.0006;0.0211;
2.965;0.0006;0.0230;
2.970;0.0006;0.0223;
2.975;0.0006;0.0244;
2.980;0.0064;0.0234;
2.985;0.0064;0.0253;
2.990;0.0064;0.0244;
2.995;0.0064;0.0212;
